LOCATION,ASSETATTRID,ALNVALUE,CLASSSTRUCTUREID,PLUSPCUSTOMER,ORGID,SITEID,CLASSSTRUCTUREID,ORGID,SECTION
1007070,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007071,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007071,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007071,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007071,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007072,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007072,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007072,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007072,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007073,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007073,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007073,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007073,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007074,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007074,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007074,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007074,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007075,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007075,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007075,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007075,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007076,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007076,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007076,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007076,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007077,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007077,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007077,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007077,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007078,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007078,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007078,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007078,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007079,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007079,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007079,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007079,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007080,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007080,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007080,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007080,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007081,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007081,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007081,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007081,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007082,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007082,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007082,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007082,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007083,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007083,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007083,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007083,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1000193,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1000193,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000193,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1000193,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1003655,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1003655,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003655,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1003655,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1000194,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1000194,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000194,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000194,NSCREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003725,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1003725,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
