LOCATION,CLASSSTRUCTUREID,PLUSPCUSTOMER,ORGID,SITEID
1000843,22350,BBC,UK,GB
1000844,22350,BBC,UK,GB
1000845,22350,BBC,UK,GB
1000846,22350,BBC,UK,GB
1000847,22350,BBC,UK,GB
1000848,22350,BBC,UK,GB
1000849,22350,BBC,UK,GB
1000850,22350,BBC,UK,GB
1000851,22350,BBC,UK,GB
1000852,22350,BBC,UK,GB
1000853,22350,BBC,UK,GB
1000854,22350,BBC,UK,GB
1000856,22350,BBC,UK,GB
1000857,22350,BBC,UK,GB
1000858,22350,BBC,UK,GB
1000859,22350,BBC,UK,GB
1000860,22350,BBC,UK,GB
1000861,22350,BBC,UK,GB
1000862,22350,BBC,UK,GB
1000863,22350,BBC,UK,GB
1000864,22350,BBC,UK,GB
1000865,22350,BBC,UK,GB
1000866,22350,BBC,UK,GB
1000867,22350,BBC,UK,GB
1000868,22350,BBC,UK,GB
1000869,22350,BBC,UK,GB
1000870,22350,BBC,UK,GB
1000871,22350,BBC,UK,GB
1000872,22350,BBC,UK,GB
1000873,22350,BBC,UK,GB
1000874,22350,BBC,UK,GB
1000875,22350,BBC,UK,GB
1000876,22350,BBC,UK,GB
1000877,22350,BBC,UK,GB
1000878,22350,BBC,UK,GB
1000879,22350,BBC,UK,GB
1000880,22350,BBC,UK,GB
1000881,22350,BBC,UK,GB
1000882,22350,BBC,UK,GB
1000883,22350,BBC,UK,GB
1000884,22350,BBC,UK,GB
1000885,22350,BBC,UK,GB
1000886,22350,BBC,UK,GB
1000887,22350,BBC,UK,GB
1000888,22350,BBC,UK,GB
1000889,22350,BBC,UK,GB
1000890,22350,BBC,UK,GB
1000891,22350,BBC,UK,GB
1000892,22350,BBC,UK,GB
1000893,22350,BBC,UK,GB
1000894,22350,BBC,UK,GB
1000895,22350,BBC,UK,GB
1000896,22350,BBC,UK,GB
1000897,22350,BBC,UK,GB
1000898,22350,BBC,UK,GB
1000899,22350,BBC,UK,GB
1000900,22350,BBC,UK,GB
1000901,22350,BBC,UK,GB
1000902,22350,BBC,UK,GB
1000903,22350,BBC,UK,GB
1000904,22350,BBC,UK,GB
1000905,22350,BBC,UK,GB
1000906,22350,BBC,UK,GB
1000907,22350,BBC,UK,GB
1000908,22350,BBC,UK,GB
1000909,22350,BBC,UK,GB
1000910,22350,BBC,UK,GB
1000911,22350,BBC,UK,GB
1000912,22350,BBC,UK,GB
1000913,22350,BBC,UK,GB
1000914,22350,BBC,UK,GB
1000915,22350,BBC,UK,GB
1000916,22350,BBC,UK,GB
1000917,22350,BBC,UK,GB
1000918,22350,BBC,UK,GB
1000919,22350,BBC,UK,GB
1000920,22350,BBC,UK,GB
1000921,22350,BBC,UK,GB
1000922,22350,BBC,UK,GB
1000923,22350,BBC,UK,GB
1000924,22350,BBC,UK,GB
1000925,22350,BBC,UK,GB
1000926,22350,BBC,UK,GB
1000927,22350,BBC,UK,GB
1000928,22350,BBC,UK,GB
1000929,22350,BBC,UK,GB
1000930,22350,BBC,UK,GB
1000931,22350,BBC,UK,GB
1000932,22350,BBC,UK,GB
1000933,22350,BBC,UK,GB
1000934,22350,BBC,UK,GB
1000935,22350,BBC,UK,GB
1000936,22350,BBC,UK,GB
1000937,22350,BBC,UK,GB
1000938,22350,BBC,UK,GB
