DATALOAD,IRV_PMSEQ,,EN
PMNUM,INTERVAL,JPNUM,ORGID,SITEID
BBC139077,2,BBCACU02,UK,GB
BBC139079,1,BBCACU01,UK,GB
BBC139079,2,BBCACU02,UK,GB
BBC139081,1,BBCACU01,UK,GB
BBC139081,2,BBCACU02,UK,GB
BBC139083,1,BBCACU01,UK,GB
BBC139083,2,BBCACU02,UK,GB
BBC139085,1,BBCACU01,UK,GB
BBC139085,2,BBCACU02,UK,GB
BBC139087,1,BBCACU01,UK,GB
BBC139087,2,BBCACU02,UK,GB
BBC139089,1,BBCACU01,UK,GB
BBC139089,2,BBCACU02,UK,GB
BBC139091,1,BBCACU01,UK,GB
BBC139091,2,BBCACU02,UK,GB
BBC139093,1,BBCACU01,UK,GB
BBC139093,2,BBCACU02,UK,GB
BBC139095,1,BBCACU01,UK,GB
BBC139095,2,BBCACU02,UK,GB
BBC139097,1,BBCFET01,UK,GB
BBC139097,2,BBCFET02,UK,GB
BBC139097,10,BBCFET03,UK,GB
BBC139100,1,BBCTSC01,UK,GB
BBC139100,3,BBCTSC02,UK,GB
BBC139100,6,BBCTSC03,UK,GB
BBC139100,60,BBCTSC04,UK,GB
BBC139104,1,BBCEWH01,UK,GB
BBC139104,2,BBCEWH02,UK,GB
BBC139106,1,BBCEWH01,UK,GB
BBC139106,2,BBCEWH02,UK,GB
BBC139108,1,BBCEWH01,UK,GB
BBC139108,2,BBCEWH02,UK,GB
BBC139110,1,BBCEWH01,UK,GB
BBC139110,2,BBCEWH02,UK,GB
BBC139112,1,BBCEWH01,UK,GB
BBC139112,2,BBCEWH02,UK,GB
BBC139114,1,BBCUPS01,UK,GB
BBC139114,26,BBCUPS02,UK,GB
BBC139114,54,BBCUPS03,UK,GB
BBC139117,1,BBCUPS01,UK,GB
BBC139117,26,BBCUPS02,UK,GB
BBC139117,54,BBCUPS03,UK,GB
BBC139120,1,BBCSEB01,UK,GB
BBC139120,4,BBCSEB02,UK,GB
