DATALOAD,IRV_ASSET,,EN
ASSETID,LOCATION,ASSETNUM,SADDRESSCODE,DESCRIPTION,DESCRIPTION_LONGDESCRIPTION,HASLD,ISRUNNING,INSTALLDATE,ASSETTYPE,MANUFACTURER,IRV_MODEL,IRV_LEGASSETREF,SERIALNUM,IRV_ASSETCOND,IRV_CRITICALITY,IRV_EXPECTLIFE,IRV_LEGBARCODE,IRV_LEGCOND,IRV_REPLACEQTY,IRV_SIZECAP,IRV_SURVEYDATE,IRV_UOM,PLUSPCUSTOMER,LANGCODE,CHANGEBY,ORGID,SITEID,STATUS,STATUSDATE,CHANGEDATE,ASSETUID
,1006584,2014-63750,BBCADD009,ELECTRIC METER,N/A,1,1,2003,FACILITIES,ISKRA,MT300-D2A41-L11,,,5,4,20,2014-63750,,1,120,2014-04-22T11:58:00+00:00,Amps,BBC,,,,GB,OPERATING,,,
,1006584,2014-63751,BBCADD009,ELECTRICAL CONTROLS,AHU CONTROL PANEL,1,1,1990,FACILITIES,NOT PRESENT,NOT PRESENT,,,4,4,10,2014-63751,,1,,2014-04-22T12:01:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006584,2014-63752,BBCADD009,AHU,N/A,1,1,1990,FACILITIES,UNIFLO,NOT PRESENT,,NOT PRESENT,5,3,15,2014-63752,,1,Not Present,2014-04-22T12:02:00+00:00,m/Hour,BBC,,,,GB,OPERATING,,,
,1006585,2014-63729,BBCADD009,AHU,T.V. STUDIO AHU,1,1,1990,FACILITIES,UNIFLO,NOT PRESENT,,NOT PRESENT,3,2,15,2014-63729,,1,Not Present,2014-04-22T11:10:00+00:00,m/Hour,BBC,,,,GB,OPERATING,,,
,1006585,2014-63730,BBCADD009,SPLIT SYSTEM OUTDOOR UNIT,N/A,1,1,2009,FACILITIES,MITSUBISHI ELECTRIC,MUZ-GE25VA,,9014973,5,2,10,2014-63730,,1,2.5,2014-04-22T11:12:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006585,2014-63731,BBCADD009,EXTRACT FAN,N/A,1,1,2008,FACILITIES,VENTS,125 VK,,,5,3,20,2014-63731,,1,Not Present,2014-04-22T11:14:00+00:00,m/Hour,BBC,,,,GB,OPERATING,,,
,1006585,2014-63732,BBCADD009,SPLIT SYSTEM INDOOR UNIT,N/A,1,1,2009,FACILITIES,MITSUBISHI ELECTRIC,MSZ-GE25VA,,9063212T,5,2,10,2014-63732,,1,Not Present,2014-04-22T11:16:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006585,2014-63733,BBCADD009,LV SWITCH PANEL INCLUDING PF CORRECTION EQUIPMENT,UPS PANEL BOARD,1,1,2011,FACILITIES,SAPHIRE CONTROLS,NOT PRESENT,,,5,1,25,2014-63733,,1,Not Present,2014-04-22T11:18:00+00:00,kV,BBC,,,,GB,OPERATING,,,
,1006585,2014-63734,BBCADD009,UPS UNIT STATIC,N/A,1,1,2011,FACILITIES,CHLORIDE,NOT PRESENT,,NOT PRESENT,5,1,20,2014-63734,,1,Not Present,2014-04-22T11:20:00+00:00,kV,BBC,,,,GB,OPERATING,,,
,1006586,2014-63792,BBCADD009,EVAC CHAIR,EVAC CHAIR,1,1,2005,FACILITIES,,,,,4,3,10,2014-63792,,1,,2014-04-22T14:16:00+00:00,,BBC,,,,GB,OPERATING,,,
